####
# Wall Drawing matplotlib drawings/86_001_2.0m_5.0m_10000.png
#
# User input was Height(m): 2.0, Width(m): 5.0, Number of lines: 10000
#
#
x, y, degrees
0.2819, 0.6454, 153.45
1.9510, 1.4601, 348.19
0.4374, 0.9254, 163.92
4.4262, 0.6761, 71.84
0.1432, 0.1402, 28.28
2.8988, 0.9517, 156.56
0.0932, 0.0472, 236.55
1.7137, 1.5020, 121.46
3.8334, 1.1768, 0.01
4.1816, 0.2438, 61.22
2.0807, 0.4310, 306.82
4.4405, 0.0701, 279.15
0.0491, 0.1547, 121.06
2.8542, 0.8321, 197.49
3.7254, 1.0591, 118.93
4.5153, 0.8431, 48.86
2.8104, 1.7475, 28.66
2.4962, 0.7470, 308.34
3.4070, 0.0662, 106.73
3.9769, 0.3467, 199.13
0.1327, 0.1971, 204.78
1.8279, 0.7968, 16.78
1.0859, 0.3527, 293.88
1.9398, 0.6819, 198.22
4.3425, 1.4302, 101.11
4.5041, 0.3094, 98.29
3.7469, 0.6198, 63.42
1.8728, 0.2971, 27.21
2.0261, 1.9072, 248.05
1.4367, 1.5508, 110.13
0.7336, 1.9333, 280.50
4.5474, 1.0855, 202.86
2.4210, 1.5560, 351.20
3.0562, 1.3173, 238.71
4.8783, 0.0813, 285.64
1.7025, 0.2583, 130.71
0.0841, 0.7030, 263.48
1.0510, 1.5427, 31.34
4.4869, 1.4755, 58.48
3.4554, 1.9670, 227.57
4.9768, 0.9798, 247.87
2.6786, 1.5239, 150.03
4.7189, 1.8202, 76.21
0.1007, 0.8810, 127.76
4.2608, 0.9670, 252.81
3.0876, 1.0097, 136.09
1.1954, 1.4613, 45.00
2.2837, 1.3126, 82.61
4.9099, 0.5878, 245.35
0.9415, 0.1849, 87.50
2.5637, 0.9793, 354.00
1.8402, 1.3754, 83.20
4.3537, 0.3701, 68.61
4.2669, 0.0223, 292.01
1.2256, 1.9237, 87.27
1.5070, 1.1657, 23.54
0.9959, 1.8945, 101.41
0.7913, 0.0292, 307.80
1.5899, 1.1680, 359.73
2.7963, 1.1084, 182.49
0.1111, 0.3354, 296.32
3.7397, 0.0588, 75.16
2.3424, 0.7695, 178.81
1.8002, 0.6035, 182.47
2.5783, 1.2675, 58.13
0.5326, 1.9039, 270.06
2.4080, 0.6678, 166.23
1.7750, 0.1975, 238.92
3.4533, 0.8790, 274.72
0.7032, 1.3741, 123.79
2.4520, 1.6604, 136.21
4.7704, 1.7166, 253.40
3.1228, 0.0190, 247.29
1.9905, 0.7954, 262.18
2.8207, 0.8496, 86.06
4.0918, 1.1460, 128.17
0.7259, 1.3578, 192.07
1.2860, 1.1568, 0.67
2.7840, 1.4887, 156.02
0.2051, 1.7861, 138.64
1.2632, 1.3656, 288.80
1.7003, 0.0138, 61.49
1.3434, 0.8876, 198.06
4.0891, 0.5439, 222.10
4.6731, 1.6430, 168.20
3.1607, 1.2377, 266.55
2.3022, 0.2220, 105.49
1.7703, 1.5629, 304.23
0.4881, 1.6394, 130.11
0.9299, 0.0860, 235.31
0.9173, 0.1385, 187.26
4.9120, 0.3769, 14.52
0.4603, 1.8230, 58.25
2.0217, 0.1229, 161.73
1.6059, 1.9656, 126.64
2.0970, 1.1105, 137.68
2.4672, 0.0263, 264.71
3.2874, 0.7452, 330.95
2.2623, 0.5271, 247.64
1.0808, 0.1771, 254.80
0.7927, 0.1773, 224.33
2.0765, 1.4361, 342.68
0.8310, 1.8409, 223.39
4.1157, 0.4062, 257.93
2.3572, 0.9851, 236.40
4.0386, 1.8195, 62.97
0.9451, 1.0447, 170.69
2.0528, 0.6387, 114.78
0.0938, 1.9033, 10.96
2.3818, 0.8799, 215.88
0.7508, 1.8559, 300.78
4.6029, 1.4703, 218.81
4.1150, 1.1805, 69.94
2.1570, 0.1211, 97.76
2.8694, 0.8737, 249.19
4.7069, 0.6940, 56.75
4.2462, 1.7030, 260.56
2.0690, 0.7387, 314.71
1.1609, 0.2210, 200.36
2.1922, 1.4285, 351.82
3.9821, 0.0483, 144.29
3.3782, 0.5653, 199.98
2.2819, 1.8997, 80.76
1.5224, 0.5404, 2.88
2.4432, 0.8312, 2.28
3.1758, 0.5551, 96.80
0.7362, 1.3101, 44.16
4.5159, 1.1229, 280.93
1.7989, 0.3028, 35.86
1.2747, 1.3545, 322.58
0.7235, 0.4841, 313.13
1.2199, 1.3316, 340.07
1.1328, 0.3886, 74.16
1.0195, 0.6140, 355.82
3.9254, 0.8744, 32.67
3.9826, 1.8234, 277.50
0.6799, 0.3093, 88.27
0.5840, 1.2949, 277.35
0.7502, 0.9887, 50.70
4.8809, 1.9869, 209.46
1.8347, 0.7442, 271.17
0.0101, 0.7079, 254.36
0.8706, 1.9281, 239.98
4.4053, 1.6446, 216.84
2.8390, 0.6054, 188.69
4.5898, 0.0111, 174.11
3.4336, 1.2565, 168.49
3.8867, 0.7753, 280.76
0.9444, 0.9460, 294.84
0.4327, 1.0445, 288.52
1.8607, 0.8910, 269.56
0.1917, 1.1760, 55.04
3.9470, 0.8437, 66.88
2.6174, 0.9409, 278.07
1.6770, 1.0679, 30.42
0.4936, 1.4442, 281.64
3.2670, 1.9261, 226.99
1.5628, 0.3032, 133.84
2.8350, 1.1597, 7.60
3.9261, 0.2128, 308.04
3.0951, 1.9875, 151.36
4.1566, 1.3234, 170.19
4.2605, 0.2417, 166.89
2.1026, 0.0231, 330.89
1.5525, 0.0378, 273.71
4.4692, 1.5111, 240.13
2.2240, 0.1011, 13.20
0.7782, 1.5078, 231.26
0.8523, 1.8771, 287.68
4.9613, 0.5376, 311.94
0.3496, 0.0340, 265.41
2.7628, 0.3846, 315.76
3.6393, 0.5846, 333.24
2.4597, 1.3829, 31.57
1.6547, 1.6538, 172.70
0.5225, 1.8304, 46.70
0.9581, 0.7531, 272.11
3.3313, 0.5981, 142.32
0.0099, 0.0569, 202.00
1.3733, 1.5679, 99.32
4.8651, 1.8238, 98.04
3.9611, 0.7374, 322.17
0.3901, 1.3844, 252.11
1.3495, 1.2697, 110.00
4.5998, 1.5525, 100.44
0.3177, 1.0910, 221.42
4.2249, 0.1609, 26.52
4.6383, 0.0068, 17.35
0.3861, 1.6724, 137.57
1.7367, 1.1823, 141.91
4.8695, 0.5634, 168.41
3.3135, 1.5962, 181.20
1.6251, 1.1509, 14.90
3.3372, 0.2007, 262.67
1.3014, 0.5669, 345.33
3.0989, 0.0349, 358.08
0.6605, 1.1177, 89.47
2.5847, 1.7145, 3.31
1.9603, 1.4293, 332.49
0.8750, 1.9638, 289.74
2.1631, 0.2015, 55.08
3.8623, 1.9643, 237.06
2.1777, 1.2499, 240.03
3.0158, 0.6854, 54.27
4.7129, 0.6981, 296.97
2.0953, 1.6283, 118.71
1.8315, 0.5257, 349.78
4.6182, 1.4031, 189.38
3.1999, 1.6064, 33.43
2.5316, 0.2196, 207.81
4.6886, 0.4036, 294.12
4.6393, 0.1882, 151.36
3.2963, 1.7299, 183.65
3.3856, 0.1302, 35.81
2.7353, 0.0368, 155.63
1.0674, 1.0504, 149.57
1.2619, 1.8113, 271.62
4.7173, 1.3091, 206.52
3.8468, 1.4258, 325.11
0.8641, 1.6912, 149.28
1.9926, 0.8482, 4.63
1.3321, 0.5367, 256.70
2.5559, 1.5878, 231.33
3.4555, 0.0144, 244.35
4.0273, 0.5170, 116.10
1.9184, 0.9835, 111.40
1.8250, 1.5192, 47.02
1.0861, 0.1921, 246.56
4.2469, 0.9204, 236.77
1.8221, 1.7584, 132.54
3.2076, 1.6655, 260.48
4.2622, 0.4474, 45.91
2.4026, 0.7498, 259.46
3.6707, 1.2613, 84.95
1.0526, 0.2113, 261.45
3.1087, 0.5504, 346.45
1.5951, 0.6399, 254.49
1.0853, 0.4137, 54.87
0.3422, 0.9501, 104.72
2.7418, 1.4936, 137.74
4.9295, 0.5791, 66.68
4.2176, 1.2117, 315.73
1.9686, 0.1017, 296.67
0.1857, 1.6587, 114.02
3.2599, 0.7180, 309.33
1.6045, 0.0226, 20.06
4.5696, 1.4737, 184.36
3.5484, 0.1886, 235.16
4.5543, 1.3894, 359.20
0.8147, 1.9356, 294.44
3.1523, 1.8110, 209.11
1.9364, 0.4553, 300.64
4.7721, 0.9522, 161.68
2.5845, 0.9645, 60.53
3.4715, 1.4314, 14.05
2.5533, 1.2023, 40.66
0.2311, 0.3832, 243.79
1.7483, 0.6817, 115.99
3.7851, 0.0503, 252.76
0.8524, 0.6127, 180.27
2.4805, 1.1938, 150.26
2.8945, 0.7410, 127.83
4.5450, 0.1111, 55.80
0.7922, 1.3069, 19.77
4.7486, 1.1356, 128.06
1.0644, 0.8544, 265.37
0.7164, 1.5802, 286.73
3.1455, 0.2023, 268.67
1.4647, 0.8049, 315.10
4.4178, 0.1777, 262.63
0.2634, 0.6769, 291.69
0.9757, 1.2150, 142.00
1.6060, 0.8981, 177.58
1.2380, 1.4087, 282.23
1.3245, 1.0168, 334.88
0.6215, 0.5180, 100.23
2.8765, 0.4684, 80.34
0.7181, 0.4898, 189.62
4.0576, 1.6812, 60.03
1.2764, 1.4311, 324.04
1.9053, 0.8983, 55.26
0.8963, 1.3196, 167.08
2.7209, 0.7149, 61.47
1.7607, 1.1791, 328.30
3.8979, 1.2715, 262.48
2.8886, 1.1811, 79.80
1.5092, 1.6676, 186.96
2.7110, 0.1807, 95.43
3.8701, 0.3458, 54.15
2.5622, 0.1764, 8.73
3.6666, 0.9728, 217.07
3.2100, 0.4589, 86.09
0.8816, 1.7220, 4.49
4.0465, 0.1819, 261.16
0.5769, 0.5251, 195.06
4.0331, 1.0406, 196.86
1.6905, 0.9784, 187.95
0.5673, 1.8576, 171.32
0.7156, 0.9559, 30.76
0.4472, 0.8334, 83.60
0.5990, 1.8583, 150.76
2.8292, 1.8419, 169.38
4.1974, 0.2147, 276.72
3.5310, 1.0929, 50.09
3.3854, 0.6737, 173.82
1.5360, 1.1877, 180.24
3.6839, 0.8643, 138.28
0.6665, 1.9904, 334.46
3.4971, 1.8935, 50.23
1.6529, 0.4559, 84.21
2.7389, 0.9148, 231.44
3.4003, 1.6189, 204.05
1.0618, 1.0770, 268.46
4.6207, 0.9522, 242.25
4.7276, 0.6577, 108.92
2.1494, 1.2928, 241.02
0.5907, 0.6244, 44.11
1.9499, 1.2728, 321.42
0.2949, 1.2191, 98.82
2.8616, 1.7384, 338.58
2.7842, 0.3044, 145.52
1.0216, 1.5913, 297.08
3.4424, 0.4076, 52.19
4.7677, 0.3434, 202.84
4.0912, 0.6751, 199.23
2.9472, 1.7163, 83.50
3.7653, 1.5766, 338.15
2.8917, 0.4418, 289.95
1.3248, 1.1922, 76.47
4.7635, 0.1135, 138.02
1.4835, 0.7891, 79.64
0.3850, 1.3645, 162.16
3.2632, 0.7798, 169.92
0.7724, 0.2771, 326.05
4.3758, 0.8324, 331.84
4.9927, 1.3092, 205.57
4.9481, 0.8387, 25.58
3.9068, 1.6062, 236.84
2.2063, 0.0278, 90.77
1.7391, 0.3891, 6.31
3.7319, 0.7886, 12.97
0.2220, 0.8934, 320.67
3.8244, 1.8007, 316.79
1.2493, 1.5202, 89.01
3.6720, 0.9840, 58.43
0.3630, 1.6578, 176.19
1.7190, 0.6209, 161.72
4.6530, 0.3451, 126.64
0.5158, 0.6598, 29.65
4.3865, 0.8876, 6.38
3.6729, 0.9998, 5.97
0.0181, 1.8145, 200.14
1.8596, 1.7896, 146.79
0.8836, 1.4413, 248.16
3.1223, 0.7871, 292.02
3.9027, 0.8230, 90.67
4.4999, 0.0661, 79.16
2.7740, 0.6734, 205.60
3.7196, 0.7309, 188.37
3.0288, 0.5941, 336.10
4.0455, 0.0692, 312.32
1.6298, 1.6293, 88.85
1.2064, 0.1774, 211.91
0.3088, 0.0871, 109.42
2.7406, 0.1843, 335.67
4.5742, 0.0252, 196.10
1.3686, 1.8592, 32.66
4.8342, 0.9655, 309.55
1.9468, 1.0238, 259.89
1.5262, 0.8382, 10.35
1.8682, 1.6736, 93.67
1.3346, 0.8214, 263.26
0.0855, 1.1456, 268.73
3.8935, 1.0646, 52.34
3.1030, 0.7426, 189.99
4.1227, 1.2112, 252.14
2.5529, 0.4482, 231.55
3.0231, 0.6595, 59.91
2.9105, 1.1277, 71.10
4.4368, 0.5364, 61.94
2.3934, 0.0174, 260.07
3.5770, 1.0962, 153.55
2.2989, 0.3029, 42.40
2.4434, 1.3076, 47.73
4.1661, 0.4867, 25.66
3.7534, 1.2690, 129.64
4.1162, 0.8742, 200.35
4.5702, 0.0193, 248.21
1.1799, 1.6326, 156.61
3.7412, 1.8418, 351.32
3.9376, 1.1842, 312.94
3.3634, 1.0922, 217.10
3.0624, 0.7363, 257.14
2.1336, 0.0250, 54.92
2.1296, 1.5509, 114.71
4.6192, 1.3338, 308.33
1.9626, 0.7109, 27.08
4.6618, 0.8399, 72.73
3.1194, 1.7797, 199.78
1.4718, 0.3676, 331.18
0.2798, 0.0097, 82.62
1.8697, 1.5923, 204.12
4.3937, 0.8250, 141.76
2.9051, 1.6952, 287.56
0.5537, 0.9454, 157.57
3.6796, 0.2657, 45.28
3.0443, 0.7719, 313.72
1.2378, 1.6275, 202.94
0.6943, 1.7802, 297.79
1.0355, 0.1704, 354.76
3.9412, 0.9228, 325.34
1.2714, 0.0958, 10.51
1.0769, 1.1747, 165.67
0.0196, 0.5381, 292.95
4.1699, 1.7507, 242.04
0.6035, 0.4867, 239.65
2.5018, 1.4716, 337.69
3.0866, 1.7804, 178.07
4.7710, 1.0384, 196.43
4.2419, 0.2167, 28.38
0.7064, 1.3925, 277.59
3.9059, 1.1853, 231.44
0.9032, 0.9128, 231.61
0.3506, 0.7273, 294.78
2.6635, 0.0649, 235.24
2.7535, 1.1129, 170.18
1.3251, 1.9242, 194.64
4.7028, 1.1685, 134.32
3.8336, 0.3894, 188.63
2.6928, 1.9579, 353.98
3.7931, 0.6015, 20.14
1.6442, 1.4734, 12.61
0.2679, 1.8005, 121.30
2.1529, 1.1336, 216.35
2.0957, 1.7738, 219.46
2.9483, 1.5693, 163.60
0.6082, 0.2810, 210.57
3.1205, 1.0331, 286.62
2.7859, 1.3524, 22.15
3.1797, 0.0918, 194.77
1.4781, 0.1165, 207.38
3.2739, 0.5301, 58.17
2.6724, 1.1218, 54.15
2.6829, 0.7637, 5.86
3.3802, 1.4482, 337.30
0.8611, 0.9047, 65.80
1.7918, 0.3373, 151.20
0.5075, 0.6076, 106.22
3.2165, 1.9526, 18.66
3.2708, 1.8019, 339.71
2.5726, 1.4805, 181.70
3.2148, 1.7402, 312.89
4.4685, 0.2514, 37.34
1.6020, 0.3881, 174.07
0.8606, 0.6033, 57.04
1.7988, 0.4358, 25.36
4.8797, 1.4816, 226.55
1.0965, 0.1989, 309.64
4.4918, 1.8765, 325.36
3.4530, 1.8797, 85.12
3.3103, 1.6972, 206.21
0.5056, 0.3595, 99.05
2.9331, 1.6992, 78.07
2.8108, 0.3369, 231.49
4.2813, 1.6590, 324.94
3.1256, 1.4356, 252.63
0.9617, 1.1602, 117.90
0.9535, 0.6394, 319.76
0.9995, 1.6634, 289.14
0.4122, 0.7825, 290.74
2.6229, 0.3181, 74.41
2.2945, 1.2744, 213.46
3.3365, 0.2980, 355.90
0.9848, 1.1150, 322.37
3.4989, 1.1129, 76.46
0.6041, 1.2363, 257.05
0.4224, 1.0503, 126.04
0.0230, 1.8334, 205.79
3.3976, 0.8277, 148.13
1.9270, 0.9316, 253.17
0.9292, 1.1212, 117.45
4.6666, 0.5478, 208.49
2.4453, 0.2338, 108.76
0.1169, 0.8504, 262.06
1.6270, 1.2337, 280.67
0.4533, 1.0240, 318.82
1.7456, 1.9781, 84.58
0.2558, 0.2619, 300.87
4.0615, 0.1599, 308.50
3.4192, 0.8998, 318.78
0.7820, 1.9873, 358.11
4.0189, 0.8434, 72.39
2.7501, 0.7959, 15.52
3.2237, 1.2235, 0.72
4.5676, 1.9456, 32.33
0.5266, 1.3649, 182.51
2.7699, 1.3449, 138.33
4.9253, 1.4699, 70.75
0.7482, 0.3237, 102.98
1.9067, 0.2361, 354.97
0.0948, 0.9404, 66.78
1.2967, 0.1101, 79.35
4.6303, 1.5506, 337.49
3.6388, 1.3044, 277.05
3.5359, 1.4510, 218.59
1.3472, 0.0545, 76.55
3.9658, 1.8907, 249.45
1.8191, 1.0406, 243.08
2.1451, 0.2230, 115.91
1.3219, 0.2012, 287.28
4.5965, 0.8867, 272.84
0.4447, 1.9773, 47.72
3.7315, 0.0770, 32.66
2.6046, 1.4901, 273.20
0.4148, 1.5454, 108.36
4.0025, 1.4404, 43.06
1.2107, 0.9469, 224.22
1.7501, 1.0678, 357.86
3.7165, 0.3539, 309.45
4.2618, 1.9451, 309.96
0.4805, 0.9160, 67.17
3.8667, 0.5179, 216.11
2.9016, 1.7908, 339.71
0.3120, 1.4969, 1.61
1.3741, 1.0765, 81.89
4.0989, 0.6270, 311.00
3.1038, 0.6213, 215.00
2.9878, 0.4001, 230.47
4.7693, 0.7533, 22.02
0.5023, 1.7633, 200.48
3.0864, 1.7183, 353.73
2.4395, 1.7359, 349.26
4.9782, 0.9088, 116.88
0.3791, 1.7871, 119.11
3.5944, 0.0703, 53.68
3.1123, 1.3894, 349.19
2.6538, 0.3372, 172.00
0.2445, 1.8104, 116.75
4.0100, 1.0096, 207.04
0.6996, 0.5528, 50.38
3.6586, 0.2392, 253.28
4.4453, 1.4985, 243.05
2.8057, 0.9043, 297.32
4.0924, 1.2400, 143.24
0.1220, 1.9155, 87.27
1.3191, 0.5368, 326.82
1.6296, 0.2822, 355.66
2.6109, 1.6151, 81.10
4.6687, 0.7175, 52.62
4.7800, 1.3117, 34.27
0.7704, 1.3140, 288.94
1.4639, 1.0496, 169.36
1.8370, 0.2689, 63.25
2.9819, 0.8070, 274.25
2.6033, 1.0361, 259.33
0.6837, 0.5352, 223.02
4.3249, 1.8590, 179.06
4.3358, 1.8698, 213.38
2.0554, 1.9951, 267.02
4.9959, 1.4823, 329.36
4.1097, 1.1352, 333.96
2.6924, 1.3388, 167.67
0.5644, 1.6815, 217.77
0.8358, 0.8952, 27.04
2.8386, 1.8610, 64.10
3.5232, 1.0372, 291.39
3.6770, 0.7397, 195.36
3.1745, 0.5693, 280.86
3.9012, 1.4562, 309.20
0.2684, 0.4396, 323.00
0.1742, 0.8227, 188.79
4.6795, 0.0943, 341.27
3.3355, 0.4307, 174.33
3.2710, 1.2266, 264.14
3.3540, 0.6169, 203.04
0.6808, 1.5459, 91.24
0.9343, 0.7749, 134.06
1.7725, 1.9197, 94.26
3.7661, 0.6819, 4.56
1.0085, 0.1874, 155.88
2.6674, 0.3023, 80.40
3.8501, 1.4146, 204.56
2.6977, 0.3792, 342.05
2.4666, 1.9003, 290.18
4.2018, 0.2055, 176.43
2.8103, 0.2154, 119.88
2.0310, 1.4332, 125.71
3.9693, 0.2684, 359.24
0.5536, 1.6054, 165.49
2.9976, 1.6001, 308.23
2.5091, 0.8605, 275.67
3.2242, 0.7810, 35.62
2.3908, 0.5316, 97.22
3.6790, 0.1831, 231.27
4.0154, 0.2054, 88.68
2.9774, 1.7590, 116.34
2.3472, 0.6274, 159.32
3.5940, 0.2988, 331.02
1.5210, 0.0328, 301.92
1.5444, 0.0249, 301.09
0.8723, 1.5435, 334.66
0.3541, 1.4432, 351.91
4.2108, 1.3225, 331.53
1.1958, 0.8463, 281.34
2.5442, 0.1008, 240.83
1.3259, 0.3213, 341.36
0.0268, 0.8675, 355.51
1.0734, 0.8093, 295.94
2.8706, 0.0482, 236.39
1.8152, 0.5703, 202.75
0.6929, 0.7192, 306.71
4.0859, 1.5171, 289.44
1.4049, 0.2605, 305.81
4.0351, 1.5162, 224.56
2.8890, 1.6658, 221.26
2.7020, 0.9022, 236.21
0.9883, 0.3027, 201.43
2.5115, 0.0970, 57.21
2.5138, 1.0132, 274.10
3.7056, 0.2656, 27.67
2.2033, 1.7562, 42.18
1.4478, 1.1038, 353.84
2.0607, 1.4472, 6.71
1.6989, 0.5362, 138.64
1.7178, 1.9355, 343.80
3.2563, 1.9868, 298.20
4.1435, 0.7904, 319.95
1.9893, 0.8284, 245.70
0.5504, 1.7097, 97.36
0.9176, 0.6814, 258.81
1.1683, 0.6160, 125.32
4.2332, 1.6998, 207.24
2.3452, 0.7642, 240.39
3.5599, 0.7707, 335.51
0.9417, 0.6334, 289.43
4.2835, 1.3620, 306.48
3.3968, 1.2940, 35.62
3.8763, 1.6585, 350.87
4.7230, 0.9004, 164.28
4.9682, 0.6994, 246.31
0.1719, 0.9154, 90.34
0.9219, 0.3457, 99.68
0.9725, 1.7789, 137.37
3.2360, 1.4043, 156.51
0.0832, 0.4697, 112.54
0.2935, 0.4590, 295.41
0.7229, 1.9961, 111.68
3.7867, 0.5180, 18.13
2.0887, 0.7137, 158.64
1.1630, 0.4923, 172.26
0.5908, 0.7842, 292.19
0.9431, 0.1606, 285.12
0.9482, 0.9846, 318.56
2.2976, 1.1551, 219.38
1.6110, 1.7341, 336.23
0.5158, 0.2363, 186.48
1.6416, 0.9545, 147.08
0.3576, 1.5239, 212.39
1.9920, 0.7171, 126.89
3.3697, 0.1576, 116.68
2.0241, 0.2622, 275.05
2.9961, 0.7526, 356.96
0.3039, 1.0700, 45.94
2.2004, 0.3200, 287.05
1.2119, 0.2528, 230.56
3.3673, 1.1407, 251.77
3.7329, 1.6182, 2.33
4.4143, 0.3018, 105.46
4.4678, 0.0749, 101.35
1.8487, 1.2091, 116.74
0.6338, 0.3349, 235.09
4.3176, 1.1322, 317.94
3.7271, 0.2102, 324.34
3.1153, 0.8061, 341.40
1.2216, 0.3082, 73.46
3.0419, 1.0236, 183.93
2.9771, 0.9270, 179.45
4.2636, 1.2914, 69.04
0.7496, 1.8018, 15.83
4.0459, 1.2039, 358.63
4.3211, 1.3918, 326.04
4.0101, 1.9977, 237.07
1.1653, 1.4667, 319.49
2.6167, 1.0229, 343.08
2.2029, 0.5147, 102.53
